image_id,project_id,image_path,latitude,longitude,upload_date,image_hash,similarity_score,status
IMG00001,P00001,evidence/images/IMG00001.jpg,11.505331723029084,81.61764157033222,2025-01-18,98d9baee30028bf6d43a139a55d598fc,0.95,Potentially Reused
IMG00002,P00002,evidence/images/IMG00002.jpg,24.496941497349276,87.7101372536904,2025-07-11,99bf2592cf6e4575d07ce1090af1d65f,0.0,Valid
IMG00003,P00003,evidence/images/IMG00003.jpg,27.41486362242168,91.85669270219736,2026-02-08,384364ef2a40c3ad226595c85f0dbf8f,0.0,Valid
IMG00004,P00004,evidence/images/IMG00004.jpg,29.68309745829221,86.56524901964454,2025-02-13,f5f035039f63e35db932e748ed3edd58,0.0,Valid
IMG00005,P00005,evidence/images/IMG00005.jpg,28.50264893955517,85.86404696052224,2025-11-25,f77532c080452873f5d91bb045012d76,0.0,Valid
IMG00006,P00006,evidence/images/IMG00006.jpg,27.93697052133346,85.2674227360117,2025-02-04,64b5d079bb4d573a5733965e363cec25,0.0,Valid
IMG00007,P00007,evidence/images/IMG00007.jpg,9.704210735577902,78.27140106203554,2024-09-25,2e81d829f0d81bde3ff54e2d45216bb8,0.0,Valid
IMG00008,P00008,evidence/images/IMG00008.jpg,10.523234808011557,87.00271514180972,2025-04-28,574cf1ceeb35b4fd7d425b3159a04019,0.0,Valid
IMG00009,P00009,evidence/images/IMG00009.jpg,17.534765352277475,74.43546840245881,2025-03-11,1edfe3c5c3f0e10786f0f18c9b6c811c,0.0,Valid
IMG00010,P00010,evidence/images/IMG00010.jpg,15.223832295605105,74.60854105063929,2026-02-21,2a11d32965ea8ca5508e2c2c3aaee070,0.0,Valid
IMG00011,P00011,evidence/images/IMG00011.jpg,19.348000426197675,85.12071504590838,2024-07-01,84f76542b15360ebe0b404a47046c8c3,0.0,Valid
IMG00012,P00012,evidence/images/IMG00012.jpg,23.36122996218497,76.07774077703034,2024-03-22,b5fbee53956df4b557dc605faee9cb04,0.0,Valid
IMG00013,P00013,evidence/images/IMG00013.jpg,20.755784935624536,82.41599848821951,2024-10-31,984d18c339db0922798c6abe64896393,0.0,Valid
IMG00014,P00014,evidence/images/IMG00014.jpg,31.320947913465982,75.4769319621725,2025-02-16,9d7b5eb16a6e9fcefd00ce3e73bfb936,0.0,Valid
IMG00015,P00015,evidence/images/IMG00015.jpg,14.139520965087923,73.44076861228837,2025-08-04,49b8e7f7ba7b2cc1a84d47f6390d4580,0.0,Valid
IMG00016,P00016,evidence/images/IMG00016.jpg,32.34992410726325,75.95923478812396,2025-12-16,9a62d1b3fc7ba41e9d7fada0d2521150,0.0,Valid
IMG00017,P00017,evidence/images/IMG00017.jpg,28.11792074846349,85.80089301072167,2026-05-03,4264b343e9357ff01ad97ef1089ce0bd,0.0,Valid
IMG00018,P00018,evidence/images/IMG00018.jpg,12.825122350469668,84.5677792721127,2025-10-06,f035d2f7b5d3667fc03d6cbee3b94ecc,0.0,Valid
IMG00019,P00019,evidence/images/IMG00019.jpg,11.60101321889224,86.11764173753458,2024-09-30,8513f337148818d3050006ce6c3cbd0a,0.0,Valid
IMG00020,P00020,evidence/images/IMG00020.jpg,11.392848134178893,91.06573850992883,2025-08-23,72d3c9a77964225ca3064709e5560af3,0.0,Valid
IMG00021,P00021,evidence/images/IMG00021.jpg,24.556557881372,74.79676859426492,2025-03-01,9389eb78ba67a9160504d36f32f310ee,0.0,Valid
IMG00022,P00022,evidence/images/IMG00022.jpg,11.01591511655596,89.12268657467818,2026-04-11,0fbd354e9f82e44498043e471b52669a,0.0,Valid
